15:33:12.181: Position 1: IN07
15:33:12.181: Position 2: CT95
15:33:12.182: Position 3: QP80
15:33:12.183: Position 4: TP74
15:33:12.183: Position 5: WC15
15:33:12.184: Position 6: JT70
15:33:12.184: Position 7: TK44
15:33:12.184: Position 8: AT32
15:33:21.844: Message received: ISTHIS,working,0,0000
15:33:21.844: Timer started.
15:33:24.398: Message received: ISTHIS,working,1,1111
15:33:24.400: Awarded: 0 pts
15:33:25.572: Message received: ISTHIS,working,1,1111
15:33:25.573: Awarded: 0 pts
15:34:42.912: Message received: ISTHIS,working,0,0000
15:34:42.913: Timer started.
15:35:05.167: Message received: ISTHIS,working,1,1111
15:35:05.168: Awarded: 0 pts
15:35:05.537: Message received: ISTHIS,working,1,1111
15:35:05.538: Awarded: 0 pts
15:35:05.924: Message received: ISTHIS,working,1,1111
15:35:05.925: Awarded: 0 pts
15:35:06.295: Message received: ISTHIS,working,1,1111
15:35:06.296: Awarded: 0 pts
15:35:06.676: Message received: ISTHIS,working,1,1111
15:35:06.677: Awarded: 0 pts
15:35:07.052: Message received: ISTHIS,working,1,1111
15:35:07.054: Awarded: 0 pts
15:35:07.524: Message received: ISTHIS,working,1,1111
15:35:07.525: Awarded: 0 pts
15:35:08.007: Message received: ISTHIS,working,1,1111
15:35:08.008: Awarded: 0 pts
15:35:08.391: Message received: ISTHIS,working,1,1111
15:35:08.393: Awarded: 0 pts
15:35:08.776: Message received: ISTHIS,working,1,1111
15:35:08.776: Awarded: 0 pts
15:35:09.156: Message received: ISTHIS,working,1,1111
15:35:09.157: Awarded: 0 pts
15:35:09.515: Message received: ISTHIS,working,1,1111
15:35:09.517: Awarded: 0 pts
15:35:09.895: Message received: ISTHIS,working,1,1111
15:35:09.897: Awarded: 0 pts
15:35:14.337: Message received: ISTHIS,working,1,1111
15:35:14.338: Awarded: 0 pts
15:35:14.694: Message received: ISTHIS,working,1,1111
15:35:14.695: Awarded: 0 pts
15:35:15.072: Message received: ISTHIS,working,1,1111
15:35:15.074: Awarded: 0 pts
15:35:15.468: Message received: ISTHIS,working,1,1111
15:35:15.469: Awarded: 0 pts
15:35:15.864: Message received: ISTHIS,working,1,1111
15:35:15.865: Awarded: 0 pts
15:35:16.272: Message received: ISTHIS,working,1,1111
15:35:16.275: Awarded: 0 pts
