15:40:27.476: Position 1: LF15
15:40:27.476: Position 2: UO85
15:40:27.476: Position 3: BY20
15:40:27.477: Position 4: GL54
15:40:27.477: Position 5: RN50
15:40:27.477: Position 6: SY89
15:40:27.477: Position 7: PC29
15:40:27.478: Position 8: GE31
15:40:39.952: Message received: ISTHIS,working,0,0000
15:40:39.953: Timer started.
15:40:54.359: Message received: ISTHIS,working,1,1111
15:40:54.360: Awarded: 0 pts
15:40:54.741: Message received: ISTHIS,working,1,1111
15:40:54.741: Awarded: 0 pts
15:40:55.112: Message received: ISTHIS,working,1,1111
15:40:55.113: Awarded: 0 pts
15:40:55.478: Message received: ISTHIS,working,1,1111
15:40:55.479: Awarded: 0 pts
15:40:55.834: Message received: ISTHIS,working,1,1111
15:40:55.836: Awarded: 0 pts
15:40:56.198: Message received: ISTHIS,working,1,1111
15:40:56.200: Awarded: 0 pts
15:40:56.557: Message received: ISTHIS,working,1,1111
15:40:56.559: Awarded: 0 pts
15:40:56.920: Message received: ISTHIS,working,1,1111
15:40:56.921: Awarded: 0 pts
15:40:57.289: Message received: ISTHIS,working,1,1111
15:40:57.292: Awarded: 0 pts
15:40:57.642: Message received: ISTHIS,working,1,1111
15:40:57.643: Awarded: 0 pts
15:40:58.012: Message received: ISTHIS,working,1,1111
15:40:58.013: Awarded: 0 pts
15:40:58.373: Message received: ISTHIS,working,1,1111
15:40:58.374: Awarded: 0 pts
15:40:58.732: Message received: ISTHIS,working,1,1111
15:40:58.734: Awarded: 0 pts
15:40:59.094: Message received: ISTHIS,working,1,1111
15:40:59.095: Awarded: 0 pts
15:40:59.433: Message received: ISTHIS,working,1,1111
15:40:59.437: Awarded: 0 pts
15:40:59.786: Message received: ISTHIS,working,1,1111
15:40:59.788: Awarded: 0 pts
15:41:00.152: Message received: ISTHIS,working,1,1111
15:41:00.154: Awarded: 0 pts
15:41:00.509: Message received: ISTHIS,working,1,1111
15:41:00.510: Awarded: 0 pts
15:41:00.874: Message received: ISTHIS,working,1,1111
15:41:00.876: Awarded: 0 pts
15:41:01.238: Message received: ISTHIS,working,1,1111
15:41:01.239: Awarded: 0 pts
15:41:01.597: Message received: ISTHIS,working,1,1111
15:41:01.599: Awarded: 0 pts
15:41:01.950: Message received: ISTHIS,working,1,1111
15:41:01.951: Awarded: 0 pts
15:41:02.322: Message received: ISTHIS,working,1,1111
15:41:02.323: Awarded: 0 pts
15:41:02.673: Message received: ISTHIS,working,1,1111
15:41:02.675: Awarded: 0 pts
15:41:03.040: Message received: ISTHIS,working,1,1111
15:41:03.042: Awarded: 0 pts
15:41:03.437: Message received: ISTHIS,working,1,1111
15:41:03.438: Awarded: 0 pts
15:41:03.799: Message received: ISTHIS,working,1,1111
15:41:03.802: Awarded: 0 pts
15:41:04.153: Message received: ISTHIS,working,1,1111
15:41:04.154: Awarded: 0 pts
15:41:04.520: Message received: ISTHIS,working,1,1111
15:41:04.521: Awarded: 0 pts
15:41:04.873: Message received: ISTHIS,working,1,1111
15:41:04.875: Awarded: 0 pts
15:41:05.240: Message received: ISTHIS,working,1,1111
15:41:05.241: Awarded: 0 pts
15:41:05.605: Message received: ISTHIS,working,1,1111
15:41:05.606: Awarded: 0 pts
15:41:05.954: Message received: ISTHIS,working,1,1111
15:41:05.957: Awarded: 0 pts
15:41:06.330: Message received: ISTHIS,working,1,1111
15:41:06.331: Awarded: 0 pts
15:41:06.715: Message received: ISTHIS,working,1,1111
15:41:06.716: Awarded: 0 pts
15:41:07.068: Message received: ISTHIS,working,1,1111
15:41:07.069: Awarded: 0 pts
15:41:07.438: Message received: ISTHIS,working,1,1111
15:41:07.438: Awarded: 0 pts
15:41:07.789: Message received: ISTHIS,working,1,1111
15:41:07.790: Awarded: 0 pts
15:41:08.159: Message received: ISTHIS,working,1,1111
15:41:08.160: Awarded: 0 pts
15:41:08.537: Message received: ISTHIS,working,1,1111
15:41:08.538: Awarded: 0 pts
15:41:08.909: Message received: ISTHIS,working,1,1111
15:41:08.910: Awarded: 0 pts
15:41:09.278: Message received: ISTHIS,working,1,1111
15:41:09.280: Awarded: 0 pts
15:41:09.638: Message received: ISTHIS,working,1,1111
15:41:09.640: Awarded: 0 pts
15:41:09.989: Message received: ISTHIS,working,1,1111
15:41:09.990: Awarded: 0 pts
15:41:10.352: Message received: ISTHIS,working,1,1111
15:41:10.353: Awarded: 0 pts
15:41:10.721: Message received: ISTHIS,working,1,1111
15:41:10.724: Awarded: 0 pts
15:41:11.105: Message received: ISTHIS,working,1,1111
15:41:11.106: Awarded: 0 pts
15:41:11.452: Message received: ISTHIS,working,1,1111
15:41:11.453: Awarded: 0 pts
15:41:11.815: Message received: ISTHIS,working,1,1111
15:41:11.816: Awarded: 0 pts
15:41:12.184: Message received: ISTHIS,working,1,1111
15:41:12.185: Awarded: 0 pts
15:41:12.542: Message received: ISTHIS,working,1,1111
15:41:12.543: Awarded: 0 pts
15:41:12.936: Message received: ISTHIS,working,1,1111
15:41:12.938: Awarded: 0 pts
15:41:13.326: Message received: ISTHIS,working,1,1111
15:41:13.327: Awarded: 0 pts
15:41:13.711: Message received: ISTHIS,working,1,1111
15:41:13.712: Awarded: 0 pts
15:41:14.074: Message received: ISTHIS,working,1,1111
15:41:14.075: Awarded: 0 pts
15:41:14.443: Message received: ISTHIS,working,1,1111
15:41:14.446: Awarded: 0 pts
15:41:14.809: Message received: ISTHIS,working,1,1111
15:41:14.811: Awarded: 0 pts
15:41:15.186: Message received: ISTHIS,working,1,1111
15:41:15.188: Awarded: 0 pts
15:41:15.561: Message received: ISTHIS,working,1,1111
15:41:15.562: Awarded: 0 pts
15:41:15.915: Message received: ISTHIS,working,1,1111
15:41:15.917: Awarded: 0 pts
15:41:16.276: Message received: ISTHIS,working,1,1111
15:41:16.277: Awarded: 0 pts
15:41:16.620: Message received: ISTHIS,working,1,1111
15:41:16.622: Awarded: 0 pts
15:41:16.979: Message received: ISTHIS,working,1,1111
15:41:16.980: Awarded: 0 pts
15:41:17.372: Message received: ISTHIS,working,1,1111
15:41:17.374: Awarded: 0 pts
15:41:17.728: Message received: ISTHIS,working,1,1111
15:41:17.729: Awarded: 0 pts
15:41:18.089: Message received: ISTHIS,working,1,1111
15:41:18.091: Awarded: 0 pts
15:41:18.455: Message received: ISTHIS,working,1,1111
15:41:18.456: Awarded: 0 pts
15:41:18.822: Message received: ISTHIS,working,1,1111
15:41:18.823: Awarded: 0 pts
15:41:19.187: Message received: ISTHIS,working,1,1111
15:41:19.189: Awarded: 0 pts
15:41:19.551: Message received: ISTHIS,working,1,1111
15:41:19.554: Awarded: 0 pts
15:41:19.921: Message received: ISTHIS,working,1,1111
15:41:19.922: Awarded: 0 pts
15:41:20.280: Message received: ISTHIS,working,1,1111
15:41:20.281: Awarded: 0 pts
15:41:20.637: Message received: ISTHIS,working,1,1111
15:41:20.638: Awarded: 0 pts
15:41:21.051: Message received: ISTHIS,working,1,1111
15:41:21.053: Awarded: 0 pts
15:41:21.463: Message received: ISTHIS,working,1,1111
15:41:21.464: Awarded: 0 pts
15:41:21.849: Message received: ISTHIS,working,1,1111
15:41:21.850: Awarded: 0 pts
15:41:22.223: Message received: ISTHIS,working,1,1111
15:41:22.224: Awarded: 0 pts
15:41:22.590: Message received: ISTHIS,working,1,1111
15:41:22.591: Awarded: 0 pts
15:41:22.948: Message received: ISTHIS,working,1,1111
15:41:22.949: Awarded: 0 pts
15:41:23.305: Message received: ISTHIS,working,1,1111
15:41:23.307: Awarded: 0 pts
15:41:23.696: Message received: ISTHIS,working,1,1111
15:41:23.698: Awarded: 0 pts
15:41:24.073: Message received: ISTHIS,working,1,1111
15:41:24.074: Awarded: 0 pts
15:41:24.477: Message received: ISTHIS,working,1,1111
15:41:24.478: Awarded: 0 pts
15:41:24.851: Message received: ISTHIS,working,1,1111
15:41:24.852: Awarded: 0 pts
15:41:25.369: Message received: ISTHIS,working,1,1111
15:41:25.371: Awarded: 0 pts
15:41:25.737: Message received: ISTHIS,working,1,1111
15:41:25.738: Awarded: 0 pts
15:41:26.121: Message received: ISTHIS,working,1,1111
15:41:26.123: Awarded: 0 pts
15:41:26.490: Message received: ISTHIS,working,1,1111
15:41:26.492: Awarded: 0 pts
15:41:26.853: Message received: ISTHIS,working,1,1111
15:41:26.855: Awarded: 0 pts
15:41:27.256: Message received: ISTHIS,working,1,1111
15:41:27.258: Awarded: 0 pts
15:41:27.631: Message received: ISTHIS,working,1,1111
15:41:27.632: Awarded: 0 pts
15:41:27.989: Message received: ISTHIS,working,1,1111
15:41:27.990: Awarded: 0 pts
15:41:28.347: Message received: ISTHIS,working,1,1111
15:41:28.348: Awarded: 0 pts
15:41:28.727: Message received: ISTHIS,working,1,1111
15:41:28.729: Awarded: 0 pts
15:41:29.124: Message received: ISTHIS,working,1,1111
15:41:29.127: Awarded: 0 pts
15:41:29.520: Message received: ISTHIS,working,1,1111
15:41:29.521: Awarded: 0 pts
15:41:29.961: Message received: ISTHIS,working,1,1111
15:41:29.963: Awarded: 0 pts
15:41:30.315: Message received: ISTHIS,working,1,1111
15:41:30.318: Awarded: 0 pts
15:41:30.704: Message received: ISTHIS,working,1,1111
15:41:30.713: Awarded: 0 pts
15:41:31.071: Message received: ISTHIS,working,1,1111
15:41:31.073: Awarded: 0 pts
15:41:31.445: Message received: ISTHIS,working,1,1111
15:41:31.446: Awarded: 0 pts
15:41:31.806: Message received: ISTHIS,working,1,1111
15:41:31.807: Awarded: 0 pts
15:41:32.186: Message received: ISTHIS,working,1,1111
15:41:32.188: Awarded: 0 pts
15:41:32.567: Message received: ISTHIS,working,1,1111
15:41:32.568: Awarded: 0 pts
15:41:32.923: Message received: ISTHIS,working,1,1111
15:41:32.924: Awarded: 0 pts
15:41:33.286: Message received: ISTHIS,working,1,1111
15:41:33.287: Awarded: 0 pts
15:41:33.662: Message received: ISTHIS,working,1,1111
15:41:33.663: Awarded: 0 pts
15:41:34.017: Message received: ISTHIS,working,1,1111
15:41:34.018: Awarded: 0 pts
15:41:34.364: Message received: ISTHIS,working,1,1111
15:41:34.365: Awarded: 0 pts
15:41:34.722: Message received: ISTHIS,working,1,1111
15:41:34.724: Awarded: 0 pts
15:41:35.082: Message received: ISTHIS,working,1,1111
15:41:35.083: Awarded: 0 pts
15:41:35.441: Message received: ISTHIS,working,1,1111
15:41:35.443: Awarded: 0 pts
15:41:35.800: Message received: ISTHIS,working,1,1111
15:41:35.802: Awarded: 0 pts
15:41:36.159: Message received: ISTHIS,working,1,1111
15:41:36.161: Awarded: 0 pts
15:41:36.525: Message received: ISTHIS,working,1,1111
15:41:36.526: Awarded: 0 pts
15:41:36.881: Message received: ISTHIS,working,1,1111
15:41:36.882: Awarded: 0 pts
15:41:37.242: Message received: ISTHIS,working,1,1111
