18:03:24.381: Position 1: RT69
18:03:24.381: Position 2: DB72
18:03:24.382: Position 3: QR00
18:03:24.383: Position 4: OM28
18:03:24.383: Position 5: VG17
18:03:24.384: Position 6: BD19
18:03:24.384: Position 7: WC18
18:03:24.384: Position 8: CY93
18:03:36.413: Message received: ISTHIS,working,0,0000
18:03:36.414: Timer started.
18:03:37.650: Message received: ISTHIS,working,7,7777
18:03:37.651: Awarded: 0 pts
18:03:38.140: Message received: ISTHIS,working,7,7777
18:03:38.141: Awarded: 0 pts
18:03:38.695: Message received: ISTHIS,working,7,7777
18:03:38.696: Awarded: 0 pts
18:03:39.175: Message received: ISTHIS,working,7,7777
18:03:39.177: Awarded: 0 pts
18:03:49.182: Message received: ISTHIS,working,7,7777
18:03:49.185: Awarded: 0 pts
18:04:15.178: Message received: ISTHIS,working,7,7777
18:04:15.179: Awarded: 0 pts
18:04:22.355: Message received: ISTHIS,working,7,7777
18:04:22.356: Awarded: 0 pts
18:04:22.706: Message received: ISTHIS,working,7,7777
18:04:22.708: Awarded: 0 pts
18:04:23.086: Message received: ISTHIS,working,7,7777
18:04:23.088: Awarded: 0 pts
18:04:23.452: Message received: ISTHIS,working,7,1171
18:04:23.453: Awarded: 0 pts
18:04:23.813: Message received: ISTHIS,working,7,1171
18:04:23.814: Awarded: 0 pts
18:04:24.172: Message received: ISTHIS,working,7,1171
18:04:24.173: Awarded: 0 pts
18:04:24.532: Message received: ISTHIS,working,7,1171
18:04:24.533: Awarded: 0 pts
18:04:24.888: Message received: ISTHIS,working,7,1171
18:04:24.889: Awarded: 0 pts
18:04:25.264: Message received: ISTHIS,working,7,1171
18:04:25.265: Awarded: 0 pts
18:04:25.620: Message received: ISTHIS,working,7,1171
18:04:25.622: Awarded: 0 pts
18:04:25.973: Message received: ISTHIS,working,7,1171
18:04:25.974: Awarded: 0 pts
18:04:26.328: Message received: ISTHIS,working,7,1171
18:04:26.330: Awarded: 0 pts
18:04:26.708: Message received: ISTHIS,working,7,1171
18:04:26.709: Awarded: 0 pts
18:04:27.063: Message received: ISTHIS,working,7,1171
18:04:27.065: Awarded: 0 pts
18:04:27.422: Message received: ISTHIS,working,7,1171
18:04:27.423: Awarded: 0 pts
18:04:27.782: Message received: ISTHIS,working,7,1171
18:04:27.784: Awarded: 0 pts
18:04:28.144: Message received: ISTHIS,working,7,1171
18:04:28.146: Awarded: 0 pts
18:04:28.508: Message received: ISTHIS,working,7,1171
18:04:28.509: Awarded: 0 pts
18:04:28.891: Message received: ISTHIS,working,7,1171
18:04:28.892: Awarded: 0 pts
18:04:29.311: Message received: ISTHIS,working,7,1171
18:04:29.312: Awarded: 0 pts
18:04:29.678: Message received: ISTHIS,working,7,1171
18:04:29.679: Awarded: 0 pts
18:04:30.043: Message received: ISTHIS,working,7,1171
18:04:30.044: Awarded: 0 pts
18:04:30.420: Message received: ISTHIS,working,7,1171
18:04:30.422: Awarded: 0 pts
