21:18:23.713: Position 1: HW70
21:18:23.714: Position 2: HX77
21:18:23.714: Position 3: PD74
21:18:23.715: Position 4: JN46
21:18:23.715: Position 5: RE14
21:18:23.715: Position 6: LO08
21:18:23.715: Position 7: IP11
21:18:23.716: Position 8: PI39
21:18:23.951: Message received: ISTHIS,working,8,B639
21:18:23.952: Awarded: 0 pts
21:18:24.081: Message received: ISTHIS,working,8,B639
21:18:24.083: Awarded: 0 pts
21:18:24.274: Message received: ISTHIS,working,8,B639
21:18:24.274: Awarded: 0 pts
21:18:24.444: Message received: ISTHIS,working,8,B639
21:18:24.444: Awarded: 0 pts
21:18:24.621: Message received: ISTHIS,working,8,B639
21:18:24.623: Awarded: 0 pts
21:18:24.787: Message received: ISTHIS,working,8,B639
21:18:24.788: Awarded: 0 pts
21:18:24.964: Message received: ISTHIS,working,8,B639
21:18:24.965: Awarded: 0 pts
21:18:25.145: Message received: ISTHIS,working,8,B639
21:18:25.147: Awarded: 0 pts
21:18:25.307: Message received: ISTHIS,working,8,B639
21:18:25.308: Awarded: 0 pts
21:18:25.473: Message received: ISTHIS,working,8,B639
21:18:25.475: Awarded: 0 pts
21:18:25.641: Message received: ISTHIS,working,8,B639
21:18:25.642: Awarded: 0 pts
21:18:25.824: Message received: ISTHIS,working,8,B639
21:18:25.826: Awarded: 0 pts
21:18:25.981: Message received: ISTHIS,working,8,B639
21:18:25.983: Awarded: 0 pts
21:18:26.153: Message received: ISTHIS,working,8,B639
21:18:26.154: Awarded: 0 pts
21:18:26.330: Message received: ISTHIS,working,8,B639
21:18:26.331: Awarded: 0 pts
21:18:26.494: Message received: ISTHIS,working,8,B639
21:18:26.495: Awarded: 0 pts
21:18:26.673: Message received: ISTHIS,working,8,B639
21:18:26.674: Awarded: 0 pts
21:18:26.839: Message received: ISTHIS,working,8,B639
21:18:26.841: Awarded: 0 pts
21:18:27.002: Message received: ISTHIS,working,8,B639
21:18:27.016: Awarded: 0 pts
21:18:27.170: Message received: ISTHIS,working,8,B639
21:18:27.172: Awarded: 0 pts
21:18:27.343: Message received: ISTHIS,working,8,B639
21:18:27.344: Awarded: 0 pts
21:18:27.517: Message received: ISTHIS,working,8,B639
21:18:27.518: Awarded: 0 pts
21:18:27.679: Message received: ISTHIS,working,8,B639
21:18:27.681: Awarded: 0 pts
21:18:27.857: Message received: ISTHIS,working,8,B639
21:18:27.859: Awarded: 0 pts
21:18:28.032: Message received: ISTHIS,working,8,B639
21:18:28.033: Awarded: 0 pts
21:18:28.198: Message received: ISTHIS,working,8,B639
21:18:28.199: Awarded: 0 pts
21:18:28.370: Message received: ISTHIS,working,8,B639
21:18:28.373: Awarded: 0 pts
21:18:28.570: Message received: ISTHIS,working,8,B639
21:18:28.571: Awarded: 0 pts
21:18:28.748: Message received: ISTHIS,working,8,B639
21:18:28.749: Awarded: 0 pts
21:18:28.925: Message received: ISTHIS,working,8,B639
21:18:28.926: Awarded: 0 pts
21:18:29.097: Message received: ISTHIS,working,8,B639
21:18:29.098: Awarded: 0 pts
21:18:29.258: Message received: ISTHIS,working,8,B639
21:18:29.259: Awarded: 0 pts
21:18:29.426: Message received: ISTHIS,working,8,B639
21:18:29.427: Awarded: 0 pts
21:18:29.620: Message received: ISTHIS,working,8,B639
21:18:29.621: Awarded: 0 pts
21:18:29.782: Message received: ISTHIS,working,8,B639
